,MSE_a,MSE_BC,"MSE_f,m","MSE_f,u","MSE_f,v","MSE_f,a",MSE_geom
fixed,2.81E-03,6.94E-05,1.17E-03,,,,
Adaptive 1,2.60E-03,4.23E-05,1.20E-03,,,,
Adaptive 2,2.12E-03,3.40E-05,1.04E-03,,,,
,,,,,,,
,,,,,,,
,,,,,,,
fixed,1.62E-03,3.97E-05,3.51E-04,4.67E-05,4.87E-05,3.59E-04,N/A
Adaptive 1,5.09E-04,7.96E-06,1.33E-04,3.45E-05,3.17E-05,2.24E-04,N/A
Adaptive 2,5.06E-04,8.14E-06,1.35E-04,3.61E-05,3.33E-05,2.19E-04,N/A
,,,,,,,
fixed_geom,5.51E-04,5.85E-05,1.46E-04,3.41E-05,2.89E-05,2.39E-04,7.72E-05
fixed_no_geom,2.44E-03,4.99E-05,4.61E-04,5.63E-05,6.90E-05,3.72E-04,N/A
,,,,,,,
,,,,,,,
apples to apples fixed,,,,,,,
